"model","chunk_words","overlap_words","k","split","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question","questions","recall_at_k","recall_ci_low","recall_ci_high","page_recall_at_k","mrr_at_k","context_truncation_risk"
"embeddinggemma","400","50","3","all","768","2048","163","61.156981","2.780771","0.004945","50","0.76","0.6258705062480763","0.8570274759812779","0.84","0.6766666666666665","False"
"embeddinggemma","400","50","5","all","768","2048","163","61.156981","2.780771","0.004945","50","0.88","0.7619492111337642","0.9438247628937535","0.88","0.7046666666666667","False"
"embeddinggemma","400","50","10","all","768","2048","163","61.156981","2.780771","0.004945","50","0.92","0.8116149745493629","0.9684509967442093","0.94","0.7108571428571427","False"
"embeddinggemma","400","100","1","all","768","2048","190","74.482907","2.780771","0.004191","50","0.54","0.40398634328388083","0.6703056539821737","0.68","0.54","False"
"embeddinggemma","400","100","3","all","768","2048","190","74.482907","2.780771","0.004191","50","0.8","0.6696262789551477","0.8875637005402612","0.86","0.6466666666666666","False"
"embeddinggemma","400","100","5","all","768","2048","190","74.482907","2.780771","0.004191","50","0.82","0.6920368054529739","0.902299172675462","0.9","0.6506666666666666","False"
"embeddinggemma","400","100","10","all","768","2048","190","74.482907","2.780771","0.004191","50","0.9","0.7863950966521162","0.956524876008429","0.94","0.6626904761904762","False"
"embeddinggemma","800","0","1","all","768","2048","72","60.168789","2.780771","0.002462","50","0.62","0.4815019502239357","0.7413740415742278","0.62","0.62","False"
"embeddinggemma","800","0","3","all","768","2048","72","60.168789","2.780771","0.002462","50","0.78","0.6475818431054045","0.8724621377569771","0.78","0.6933333333333332","False"
"embeddinggemma","800","0","5","all","768","2048","72","60.168789","2.780771","0.002462","50","0.88","0.7619492111337642","0.9438247628937535","0.9","0.7183333333333333","False"
"embeddinggemma","800","0","10","all","768","2048","72","60.168789","2.780771","0.002462","50","0.94","0.8378265662912299","0.9793854036353695","0.96","0.7270238095238095","False"
"embeddinggemma","800","50","1","all","768","2048","77","62.272655","2.780771","0.002407","50","0.5","0.36644286412332855","0.6335571358766714","0.62","0.5","False"
"embeddinggemma","800","50","3","all","768","2048","77","62.272655","2.780771","0.002407","50","0.78","0.6475818431054045","0.8724621377569771","0.88","0.6133333333333334","False"
"embeddinggemma","800","50","5","all","768","2048","77","62.272655","2.780771","0.002407","50","0.84","0.7148551903823401","0.9166267863791231","0.92","0.6273333333333333","False"
"embeddinggemma","800","50","10","all","768","2048","77","62.272655","2.780771","0.002407","50","0.92","0.8116149745493629","0.9684509967442093","0.98","0.6401904761904763","False"
"embeddinggemma","800","100","1","all","768","2048","82","65.860593","2.780771","0.002484","50","0.54","0.40398634328388083","0.6703056539821737","0.62","0.54","False"
"embeddinggemma","800","100","3","all","768","2048","82","65.860593","2.780771","0.002484","50","0.78","0.6475818431054045","0.8724621377569771","0.82","0.6366666666666666","False"
"embeddinggemma","800","100","5","all","768","2048","82","65.860593","2.780771","0.002484","50","0.84","0.7148551903823401","0.9166267863791231","0.88","0.6506666666666666","False"
"embeddinggemma","800","100","10","all","768","2048","82","65.860593","2.780771","0.002484","50","0.88","0.7619492111337642","0.9438247628937535","0.92","0.6560238095238095","False"
"mxbai-embed-large","200","0","1","all","1024","512","286","130.827152","2.672203","0.006226","50","0.56","0.4230578680014353","0.6883801278976466","0.72","0.56","False"
"mxbai-embed-large","200","0","3","all","1024","512","286","130.827152","2.672203","0.006226","50","0.72","0.5833461285401034","0.8252598564231963","0.96","0.64","False"
"mxbai-embed-large","200","0","5","all","1024","512","286","130.827152","2.672203","0.006226","50","0.78","0.6475818431054045","0.8724621377569771","0.98","0.653","False"
"mxbai-embed-large","200","0","10","all","1024","512","286","130.827152","2.672203","0.006226","50","0.82","0.6920368054529739","0.902299172675462","1.0","0.6578571428571428","False"
"mxbai-embed-large","200","50","1","all","1024","512","381","192.407657","2.672203","0.009057","50","0.68","0.5418944286372394","0.792419559060006","0.78","0.68","False"
"mxbai-embed-large","200","50","3","all","1024","512","381","192.407657","2.672203","0.009057","50","0.88","0.7619492111337642","0.9438247628937535","0.96","0.7666666666666666","False"
"mxbai-embed-large","200","50","5","all","1024","512","381","192.407657","2.672203","0.009057","50","0.9","0.7863950966521162","0.956524876008429","1.0","0.7716666666666666","False"
"mxbai-embed-large","200","50","10","all","1024","512","381","192.407657","2.672203","0.009057","50","0.92","0.8116149745493629","0.9684509967442093","1.0","0.7745238095238095","False"
"mxbai-embed-large","200","100","1","all","1024","512","570","263.283603","2.672203","0.011852","50","0.66","0.5215356854148285","0.7756323036493895","0.78","0.66","False"
"mxbai-embed-large","200","100","3","all","1024","512","570","263.283603","2.672203","0.011852","50","0.86","0.738135428014719","0.9304925473797714","0.96","0.7466666666666667","False"
"mxbai-embed-large","200","100","5","all","1024","512","570","263.283603","2.672203","0.011852","50","0.9","0.7863950966521162","0.956524876008429","0.98","0.7556666666666666","False"
"mxbai-embed-large","200","100","10","all","1024","512","570","263.283603","2.672203","0.011852","50","0.94","0.8378265662912299","0.9793854036353695","1.0","0.7609999999999999","False"
"mxbai-embed-large","400","0","1","all","1024","512","143","106.744746","2.672203","0.004348","50","0.44","0.3116198721023534","0.5769421319985648","0.52","0.44","True"
"mxbai-embed-large","400","0","3","all","1024","512","143","106.744746","2.672203","0.004348","50","0.72","0.5833461285401034","0.8252598564231963","0.82","0.5666666666666668","True"
"mxbai-embed-large","400","0","5","all","1024","512","143","106.744746","2.672203","0.004348","50","0.82","0.6920368054529739","0.902299172675462","0.92","0.5916666666666667","True"
"mxbai-embed-large","400","0","10","all","1024","512","143","106.744746","2.672203","0.004348","50","0.9","0.7863950966521162","0.956524876008429","0.96","0.6031904761904763","True"
"mxbai-embed-large","400","50","1","all","1024","512","163","122.730903","2.672203","0.004507","50","0.58","0.4423319668777783","0.7062520276543307","0.66","0.58","True"
"mxbai-embed-large","400","50","3","all","1024","512","163","122.730903","2.672203","0.004507","50","0.8","0.6696262789551477","0.8875637005402612","0.88","0.6733333333333331","True"
"mxbai-embed-large","400","50","5","all","1024","512","163","122.730903","2.672203","0.004507","50","0.86","0.738135428014719","0.9304925473797714","0.92","0.6873333333333332","True"
"mxbai-embed-large","400","50","10","all","1024","512","163","122.730903","2.672203","0.004507","50","0.94","0.8378265662912299","0.9793854036353695","0.98","0.6998333333333333","True"
"mxbai-embed-large","400","100","1","all","1024","512","190","140.908461","2.672203","0.004704","50","0.56","0.4230578680014353","0.6883801278976466","0.72","0.56","True"
"mxbai-embed-large","400","100","3","all","1024","512","190","140.908461","2.672203","0.004704","50","0.76","0.6258705062480763","0.8570274759812779","0.88","0.6433333333333334","True"
"mxbai-embed-large","400","100","5","all","1024","512","190","140.908461","2.672203","0.004704","50","0.82","0.6920368054529739","0.902299172675462","0.92","0.6583333333333334","True"
"mxbai-embed-large","400","100","10","all","1024","512","190","140.908461","2.672203","0.004704","50","0.9","0.7863950966521162","0.956524876008429","0.98","0.6708333333333333","True"
"mxbai-embed-large","800","0","1","all","1024","512","72","53.590038","2.672203","0.00246","50","0.32","0.20758044093999403","0.45810557136276076","0.42","0.32","True"
"mxbai-embed-large","800","0","3","all","1024","512","72","53.590038","2.672203","0.00246","50","0.54","0.40398634328388083","0.6703056539821737","0.68","0.41666666666666663","True"
"mxbai-embed-large","800","0","5","all","1024","512","72","53.590038","2.672203","0.00246","50","0.66","0.5215356854148285","0.7756323036493895","0.72","0.4446666666666667","True"
"mxbai-embed-large","800","0","10","all","1024","512","72","53.590038","2.672203","0.00246","50","0.78","0.6475818431054045","0.8724621377569771","0.82","0.46166666666666667","True"
"mxbai-embed-large","800","50","1","all","1024","512","77","57.444439","2.672203","0.002507","50","0.46","0.3296943460178263","0.5960136567161192","0.56","0.46","True"
"mxbai-embed-large","800","50","3","all","1024","512","77","57.444439","2.672203","0.002507","50","0.6","0.4618118910275937","0.7239181021375425","0.78","0.5166666666666666","True"
"mxbai-embed-large","800","50","5","all","1024","512","77","57.444439","2.672203","0.002507","50","0.66","0.5215356854148285","0.7756323036493895","0.86","0.5296666666666666","True"
"mxbai-embed-large","800","50","10","all","1024","512","77","57.444439","2.672203","0.002507","50","0.8","0.6696262789551477","0.8875637005402612","0.96","0.5492698412698412","True"
"mxbai-embed-large","800","100","1","all","1024","512","82","59.895225","2.672203","0.002596","50","0.48","0.3479691239550571","0.6148848774119157","0.62","0.48","True"
"mxbai-embed-large","800","100","3","all","1024","512","82","59.895225","2.672203","0.002596","50","0.54","0.40398634328388083","0.6703056539821737","0.74","0.5066666666666666","True"
"mxbai-embed-large","800","100","5","all","1024","512","82","59.895225","2.672203","0.002596","50","0.66","0.5215356854148285","0.7756323036493895","0.8","0.5366666666666666","True"
"mxbai-embed-large","800","100","10","all","1024","512","82","59.895225","2.672203","0.002596","50","0.74","0.6044657801100008","0.8412862034863262","0.88","0.5495238095238094","True"
"nomic-embed-text","200","0","1","all","768","2048","286","52.575087","1.063581","0.00585","50","0.56","0.4230578680014353","0.6883801278976466","0.74","0.56","False"
"nomic-embed-text","200","0","3","all","768","2048","286","52.575087","1.063581","0.00585","50","0.72","0.5833461285401034","0.8252598564231963","0.9","0.6366666666666667","False"
